"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 22 16:52:21 GMT 2022","Fri Apr 22 16:52:21 GMT 2022","818","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
"broken","Fri Apr 22 16:52:27 GMT 2022","Fri Apr 22 16:52:27 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:57:31 GMT 2022","Fri Apr 22 16:57:32 GMT 2022","713","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:57:32 GMT 2022","Fri Apr 22 16:57:33 GMT 2022","599","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:52:24 GMT 2022","Fri Apr 22 16:52:24 GMT 2022","681","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
"passed","Fri Apr 22 16:52:22 GMT 2022","Fri Apr 22 16:52:23 GMT 2022","710","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"passed","Fri Apr 22 16:52:25 GMT 2022","Fri Apr 22 16:52:26 GMT 2022","679","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"failed","Fri Apr 22 16:52:26 GMT 2022","Fri Apr 22 16:52:27 GMT 2022","767","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
