"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 05 16:10:50 GMT 2022","Tue Apr 05 16:10:51 GMT 2022","762","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:10:54 GMT 2022","Tue Apr 05 16:10:55 GMT 2022","1227","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:10:48 GMT 2022","Tue Apr 05 16:10:49 GMT 2022","754","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:10:51 GMT 2022","Tue Apr 05 16:10:52 GMT 2022","1146","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
