"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 20:58:56 GMT 2022","Mon Apr 04 20:58:56 GMT 2022","656","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 20:58:54 GMT 2022","Mon Apr 04 20:58:55 GMT 2022","734","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 20:58:57 GMT 2022","Mon Apr 04 20:59:00 GMT 2022","3157","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 20:59:01 GMT 2022","Mon Apr 04 20:59:01 GMT 2022","656","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
