"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 05 16:23:50 GMT 2022","Tue Apr 05 16:23:51 GMT 2022","608","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:23:48 GMT 2022","Tue Apr 05 16:23:49 GMT 2022","707","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:23:49 GMT 2022","Tue Apr 05 16:23:50 GMT 2022","562","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Tue Apr 05 16:23:52 GMT 2022","Tue Apr 05 16:23:52 GMT 2022","632","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
