"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 04 21:21:40 GMT 2022","Mon Apr 04 21:21:40 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Mon Apr 04 21:21:43 GMT 2022","Mon Apr 04 21:21:43 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Mon Apr 04 21:21:42 GMT 2022","Mon Apr 04 21:21:42 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Mon Apr 04 21:21:43 GMT 2022","Mon Apr 04 21:21:43 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
