"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 21:55:23 GMT 2022","Mon Apr 04 21:55:23 GMT 2022","754","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:55:24 GMT 2022","Mon Apr 04 21:55:25 GMT 2022","671","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:55:21 GMT 2022","Mon Apr 04 21:55:22 GMT 2022","646","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:55:25 GMT 2022","Mon Apr 04 21:55:26 GMT 2022","613","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
