"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 07 18:51:05 GMT 2022","Thu Apr 07 18:51:06 GMT 2022","768","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Thu Apr 07 18:50:57 GMT 2022","Thu Apr 07 18:50:58 GMT 2022","769","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"passed","Thu Apr 07 18:50:56 GMT 2022","Thu Apr 07 18:50:56 GMT 2022","774","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
"passed","Thu Apr 07 18:51:00 GMT 2022","Thu Apr 07 18:51:01 GMT 2022","808","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"passed","Thu Apr 07 18:51:04 GMT 2022","Thu Apr 07 18:51:04 GMT 2022","760","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Thu Apr 07 18:51:07 GMT 2022","Thu Apr 07 18:51:07 GMT 2022","754","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Thu Apr 07 18:51:02 GMT 2022","Thu Apr 07 18:51:03 GMT 2022","1391","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Thu Apr 07 18:50:59 GMT 2022","Thu Apr 07 18:50:59 GMT 2022","816","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
