"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 22 16:39:59 GMT 2022","Fri Apr 22 16:40:00 GMT 2022","593","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Fri Apr 22 16:40:00 GMT 2022","Fri Apr 22 16:40:00 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:39:56 GMT 2022","Fri Apr 22 16:39:57 GMT 2022","822","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
"passed","Fri Apr 22 16:39:55 GMT 2022","Fri Apr 22 16:39:56 GMT 2022","688","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"passed","Fri Apr 22 16:45:07 GMT 2022","Fri Apr 22 16:45:08 GMT 2022","632","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:39:58 GMT 2022","Fri Apr 22 16:39:59 GMT 2022","680","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"passed","Fri Apr 22 16:45:08 GMT 2022","Fri Apr 22 16:45:09 GMT 2022","633","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 16:39:54 GMT 2022","Fri Apr 22 16:39:55 GMT 2022","703","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
