"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 21:07:17 GMT 2022","Mon Apr 04 21:07:18 GMT 2022","679","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:07:18 GMT 2022","Mon Apr 04 21:07:19 GMT 2022","643","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:07:21 GMT 2022","Mon Apr 04 21:07:22 GMT 2022","601","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Mon Apr 04 21:07:20 GMT 2022","Mon Apr 04 21:07:20 GMT 2022","698","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
