"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 22 17:13:12 GMT 2022","Fri Apr 22 17:13:13 GMT 2022","635","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Fri Apr 22 17:08:08 GMT 2022","Fri Apr 22 17:08:08 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 17:07:58 GMT 2022","Fri Apr 22 17:08:01 GMT 2022","3015","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
"passed","Fri Apr 22 17:08:02 GMT 2022","Fri Apr 22 17:08:02 GMT 2022","566","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"failed","Fri Apr 22 17:08:07 GMT 2022","Fri Apr 22 17:08:07 GMT 2022","700","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Fri Apr 22 17:08:03 GMT 2022","Fri Apr 22 17:08:03 GMT 2022","649","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
"passed","Fri Apr 22 17:08:04 GMT 2022","Fri Apr 22 17:08:06 GMT 2022","1957","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"passed","Fri Apr 22 17:13:09 GMT 2022","Fri Apr 22 17:13:12 GMT 2022","2115","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
