"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 18:41:35 GMT 2022","Wed Apr 06 18:41:36 GMT 2022","862","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 06 18:41:33 GMT 2022","Wed Apr 06 18:41:34 GMT 2022","852","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 06 18:41:36 GMT 2022","Wed Apr 06 18:41:37 GMT 2022","862","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 06 18:41:31 GMT 2022","Wed Apr 06 18:41:32 GMT 2022","938","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
