"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 13 20:54:13 GMT 2022","Wed Apr 13 20:54:13 GMT 2022","673","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
"passed","Wed Apr 13 20:54:19 GMT 2022","Wed Apr 13 20:54:20 GMT 2022","645","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 13 20:54:15 GMT 2022","Wed Apr 13 20:54:16 GMT 2022","692","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 13 20:54:11 GMT 2022","Wed Apr 13 20:54:12 GMT 2022","679","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"passed","Wed Apr 13 20:54:14 GMT 2022","Wed Apr 13 20:54:15 GMT 2022","591","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"passed","Wed Apr 13 20:54:18 GMT 2022","Wed Apr 13 20:54:19 GMT 2022","692","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 13 20:54:10 GMT 2022","Wed Apr 13 20:54:11 GMT 2022","699","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
"passed","Wed Apr 13 20:54:16 GMT 2022","Wed Apr 13 20:54:18 GMT 2022","1145","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
