"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 13 20:48:56 GMT 2022","Wed Apr 13 20:48:56 GMT 2022","618","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Wed Apr 13 20:48:53 GMT 2022","Wed Apr 13 20:48:53 GMT 2022","0","tests.ui","test_demo","TestWeb","","","test_homepage_title13",""
"broken","Wed Apr 13 20:48:53 GMT 2022","Wed Apr 13 20:48:53 GMT 2022","0","tests.ui","test_demo","TestWeb","","","test_homepage_title12",""
"broken","Wed Apr 13 20:48:53 GMT 2022","Wed Apr 13 20:48:53 GMT 2022","0","tests.ui","test_demo","TestWeb","","","test_homepage_title1",""
"passed","Wed Apr 13 20:48:57 GMT 2022","Wed Apr 13 20:48:57 GMT 2022","642","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"passed","Wed Apr 13 20:48:54 GMT 2022","Wed Apr 13 20:48:55 GMT 2022","657","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
"broken","Wed Apr 13 20:48:53 GMT 2022","Wed Apr 13 20:48:53 GMT 2022","0","tests.ui","test_demo","TestWeb","","","test_homepage_title",""
"broken","Wed Apr 13 20:48:54 GMT 2022","Wed Apr 13 20:48:54 GMT 2022","0","tests.ui","test_search","TestWeb","","","Home page - smoke test",""
